dota2ti,07/11/2021,DT1007,KRH188-INC128-GKP193-BJU120,English
ZeratoR,05/12/2023,LD1032,HMK109,French
SilverName,21/02/2023,NL1008,NOV103,Russian
Stray228,19/07/2021,NO1070,BPK178-VHS107-VIB141-YUQ166,Russian
pokimane,06/10/2023,KI1011,GGS114-ZKM134-UYB174,English
lestream,11/01/2023,DT1007,BDH190,French
ybicanoooobov,01/02/2022,RD1020,PUH184-XDR142,Russian
Method,17/10/2021,QU1003,BKY101-HFO149-COI138,English
Nightblue3,22/12/2023,CW1089,NOV103-LTE194-INC128,English
EsfandTV,02/02/2021,OR1066,PVV130-KXS144-QHJ155-FIQ167,English
NOBRU,13/06/2023,RD1020,DQN116-BPK178-RFQ147,Portuguese
Scarra,21/08/2023,LB1029,RSR181-XEB122-LCI182-WQM170,English
Baiano,27/12/2022,AZ1074,VQV154-UYB174-LWC105-SOQ157,Portuguese
WePlayEsport_RU,08/05/2022,NO1070,VVW175,Russian
LPL,18/07/2023,IC1059,BGA171-RLU104-OWQ126,English
juansguarnizo,21/06/2021,NN1099,HWP145-PMW117-DQN116-BGA171,Spanish
Rakin,11/03/2023,RL1050,VQV154-LCI182-FAE158,Portuguese
Cellbit,15/05/2023,IC1059,AAM100,Portuguese
dota2ti_ru,07/04/2023,NO1070,LWC105-LIX198-NNE115-OWQ126,Russian
Swagg,26/02/2023,VD1067,RFQ147,English
LVNDMARK,03/11/2022,WT1016,SOQ157-BGA171-JDO132,English
Agraelus,05/12/2021,BC1084,BZQ165,Czech
cloakzy,24/05/2022,MK1092,VIB141-SWT139-RSR181,English
shuteye_orange,05/05/2023,XG1006,UAA197-HTR108-INC128-XDR142,Chinese
Elraenn,18/07/2023,UW1039,BZQ165-NNE115-YUP121,Turkish
Elajjaz,28/07/2022,OA1052,KUD124-LCI182-FAE158-SOQ157,English
CDNThe3rd,25/04/2021,AG1091,EZX161-UOU172-XDR142-INC128,English
POW3Rtv,11/12/2022,NO1070,UYB174-YKM163-XOW164-MCY111,Italian
IzakOOO,27/06/2023,VG1046,BGA171,Polish
DreadzTV,25/01/2023,HV1056,ZPK187-YCY140-GGS114,Russian
ddahyoni,11/02/2022,VX1069,GGS114,Korean
Squeezie,14/11/2022,AN1079,SOQ157,French
Domingo,03/08/2021,AE1038,UYB174-HWP145,French
Kitboga,25/07/2022,LH1004,COI138-WQM170-VVW175,English
mobilmobil,15/12/2023,OA1052,HDQ185-KXS144-NBF150,Chinese
Destiny,03/08/2022,AN1079,XEB122-YKM163-UZM160-TTQ129,English
woowakgood,20/04/2021,MD1058,ISJ127-IKK125-GZN112-FAE158,Korean
bratishkinoff,09/07/2023,PA1054,EZX161-COI138-UAA197,Russian
lol_ambition,09/04/2022,NS1035,FAE158-AUP136-YCY140-JYS169,Korean
muse_tw,24/04/2022,KK1093,WQM170-GKP193-VQV154,Chinese
coscu,09/05/2022,DQ1021,VIB141-BKY101,Spanish
Locklear,16/09/2023,DT1007,SWT139-AZL133-DOL102,French
blusewilly_retry,17/04/2021,BC1084,IKK125-BBY119-NOV103,Chinese
Amouranth,06/03/2021,XL1061,NNE115-HVP148-ISJ127-PMW117,English
UberHaxorNova,10/03/2022,KF1077,VIB141-UZM160-HHR156,English
Sfory,20/09/2023,AK1034,RLU104-JYS169,Russian
ZanoXVII,05/09/2023,KO1014,XUM137-RSR181-DIM143,Italian
SkipNhOLIVE,26/03/2021,TB1073,LJW189-KXS144-DOL102-LIX198,Portuguese
Kamet0,18/05/2022,IC1059,TTQ129-IKK125-EZX161-JUO176,French
MYM_ALKAPONE,01/05/2022,HV1056,VIN110,Spanish
C_a_k_e,18/01/2022,TB1073,RLU104,Russian
SmiteGame,27/09/2021,VB1096,UPK123-NOV103-VVW175,English
wtcN,26/01/2021,KO1014,UFK146,Turkish
Anton,26/01/2023,WT1016,MWP106-GZN112-AZL133,English
StarLadder5,25/07/2022,NN1099,VIN110-HPT153-HWP145-HJF113,Russian
Reborn_Live,28/01/2023,CY1025,VIN110-TFK195-VHS107,Spanish
CasinoDaddy,20/06/2023,AE1038,DIM143-WDI191-XUM137,English
H2P_Gucio,21/10/2022,ZU1045,MWP106-FAE158,Polish
Xayoo_,14/05/2022,BY1022,IKK125-IKJ168-ZPK187,Polish
Jahrein,22/02/2023,RN1030,FAE158-BYR152-XUM137-ZZQ180,Turkish
Mathil1,10/01/2022,DU1053,COI138-WQM170-PVV130,English
Brunenger,17/09/2022,HW1033,HEP135-INC128-NBF150-MCY111,Spanish
nokduro,15/08/2023,LO1049,AEU118-FIQ167,Korean
SkipNhO,19/11/2021,AN1079,XOW164-HPT153,Portuguese
kimdoe,25/02/2023,DA1063,HEP135-GKP193-ISJ127,Korean
RebirthzTV,17/07/2022,EW1042,UPK123-NBF150,Thai
godjj,05/12/2023,MI1015,LIX198,Chinese
CSRuHub,12/01/2021,BY1022,BYR152-BJU120-BZQ165-LWC105,Russian
lol_woolf,13/03/2023,KS1031,FAE158-VVW175-YUP121-XEB122,Korean
EWROON,07/07/2022,DQ1021,BZQ165-QHJ155-ABY186-ISJ127,Polish
RduLIVE,17/05/2021,DB1005,WDI191-DQN116-TTQ129,English
a541021,26/02/2023,LH1004,NOV103-DOL102,Chinese
hashinshin,13/04/2023,CG1051,PZG173-MWP106-LIX198,English
JoshOG,19/11/2023,RD1020,HHR156-BPK178-ZPK187,English
B0aty,17/08/2022,ZG1043,VVW175-WQM170-NNE115-VIB141,English
39daph,05/10/2021,LJ1024,VIB141-GGS114-JUO176,English
flurry1989,12/07/2021,BA1060,AZL133,Korean
SummonersInnLive,18/01/2021,QA1080,VVW175-VIB141,German
Aydan,18/09/2023,KF1077,AZL133-HVP148-UAA197,English
2chamcham2,01/12/2023,XG1006,YUP121,Korean
EmadGG,08/11/2023,NL1008,XEB122-OQK199-XOW164-TFK195,English
pacific8815,17/10/2021,UM1000,BYR152-RLU104,Korean
FolagorLives,17/06/2023,BQ1023,VIN110-RFQ147-NBF150,Spanish
lilypichu,22/11/2021,VG1046,BGA171-ISJ127-YKM163,English
mistermv,09/07/2021,XG1006,HHR156-HPT153,French
KingRichard,16/03/2022,YC1062,HPT153-BYR152-MCY111-DRY196,English
melharucos,02/03/2021,BA1060,VIB141-BJU120-PMW117-SWT139,Russian
JohnPitterTV,06/04/2021,DU1053,EZX161,Portuguese
jdm2088,06/03/2023,AN1082,DIM143,Korean
SPYGEA,21/11/2023,KI1011,KXS144,Japanese
FollowGrubby,13/08/2023,CW1089,YUQ166-KXS144,English
Amar,21/06/2023,BY1022,BOC177-RFQ147-AEU118-ISJ127,German
mch_AGG,02/08/2021,VB1096,JQJ162-IKK125-TFK195-FAE158,Portuguese
Nadeshot,11/12/2023,UW1039,VHS107-AZL133-ABY186,English
buddha,16/04/2022,BQ1023,BBY119-XDR142,English
Deadlyslob,17/04/2022,QC1012,NNE115-IKK125-DIM143-LWC105,English
failverde,10/06/2023,MI1015,XUM137-WDI191-HPT153,Chinese
zrush,19/01/2023,HV1056,CUV131-UFK146-HPT153-PVV130,Chinese
HoneyMad,05/04/2022,OZ1085,GKP193-PZG173-VQV154,Russian
ESAMarathon,26/10/2021,CY1025,GZN112-VIB141-RFQ147,English
relaxing234,09/01/2021,LD1032,BGA171,Chinese
yapyap30,21/10/2022,QA1080,UAA197,Korean
Elwind,12/08/2023,IC1059,EHZ179-BJU120-JUO176,Turkish
BarbarousKing,04/05/2021,MI1015,KUD124-VQV154-BKY101,English
moistcr1tikal,26/12/2021,NS1035,JUO176-JQJ162-EHZ179,English
Rush,07/11/2021,QR1018,UAA197-BKY101-HFO149-FIQ167,English
LosPollosTV,18/12/2021,DB1005,DRY196-PZG173,English
Voyboy,08/09/2021,KO1014,RSR181-HDQ185-HTR108,English
BastiGHG,03/05/2021,GW1036,UOU172-AZL133-BDH190-WQM170,German
DatModz,11/06/2023,LD1032,ZZQ180-AZL133-UZM160-IKK125,English
dafran,04/09/2022,ZU1045,YCY140-BGA171-KUD124-IKK125,English
yeTz,17/03/2021,TM1088,RSR181,Portuguese
Aurateur,28/01/2021,UW1039,HMK109-PMW117-WQM170-CUV131,English
A_Seagull,06/08/2022,KF1077,HTR108-PVV130-XUM137-HPT153,English
Llobeti4,16/03/2023,SJ1094,COI138-UAA197,Spanish
xargon0731,13/05/2021,QA1080,UAA197-BJU120-MWP106,Chinese
itsHafu,28/07/2023,QU1003,VVW175-NOV103-BKY101,English
shongxbong,08/07/2022,BQ1071,BOC177-GZN112-HFO149-YCY140,Arabic
StaysafeTV,25/12/2023,AK1034,WQM170-PUH184-LJW189,English
RiotGamesJP,27/01/2022,ZG1043,AZL133-YUP121-LJW189,Japanese
btssmash,02/03/2021,FE1044,ISJ127-HDQ185-NNE115-LIX198,English
LexVeldhuis,12/01/2023,RL1050,ZXP183-PMW117,English
Shaunz,21/06/2021,DB1005,ISJ127-FAE158,French
AsmodaiTV,04/08/2023,VO1090,FIQ167-RSR181-PVV130-HTR108,English
Homyatol,22/06/2021,BQ1023,EHZ179-LIX198-HVP148-TTQ129,Italian
Grimmmz,23/12/2022,HW1033,EHZ179-WDI191-ZPK187,English
aXtLOL,03/08/2021,LB1029,BDH190-PMW117,Portuguese
boyMinORu,07/12/2021,PY1041,LCI182-LTE194-AUP136-JDO132,Thai
just_ns,24/05/2022,LN1013,OWQ126-ZKM134-RSR181-UZM160,Russian
FORMAL,04/02/2022,MD1058,LCI182-HHR156-XDR142-VHS107,English
Magic,06/06/2023,AE1038,FIQ167,Spanish
Xari,28/07/2022,OA1052,XUM137,French
MarcaoRX,12/05/2022,QU1003,KRH188-XUM137-AZL133,Portuguese
yamatonjp,15/01/2023,OR1066,ZZQ180-HTR108-BDH190,Japanese
Skyyart,21/11/2022,DQ1021,UYB174-DQN116,French
gratis150ml,23/09/2021,QT1017,EZX161-IKK125-EHZ179-ZZQ180,Portuguese
Ponce,25/06/2022,TZ1002,NNE115-OWQ126-XUM137,French
Distortion2,26/05/2021,MI1015,ZPK187-VVW175-INC128,English
rkdwl12,28/02/2022,NA1098,BYR152-ZXP183,Korean
TheKAIRI78,28/07/2021,MJ1009,TFK195-BPK178-OQK199-GKP193,French
RiotGamesRU,09/09/2021,DT1007,HPT153-LIX198-ZXP183,Russian
FPSThailand,12/12/2023,LB1029,CUV131-PMW117-KUD124-GZN112,Thai
naseongkim,22/10/2022,YC1062,HDQ185,Korean
obm1025,17/11/2022,LO1049,BDH190-GCS151-INC128,Korean
singsing,21/09/2021,AE1038,GZN112-COI138-HWP145-XUM137,English
BlackUFA,25/01/2021,LD1032,DOL102,Russian
polsatgames,05/05/2022,KS1095,INC128-ISJ127,Polish
orangemorange,02/08/2022,KF1077,IKK125,German
MinosTV_,20/01/2022,AG1091,GCS151-JDO132-DQN116,French
s1mple,06/03/2022,KS1031,RFQ147-BGA171-BKY101-GZN112,English
bysTaXx,27/12/2023,DQ1021,VQV154-BGA171-UZM160-DIM143,Spanish
Sjow,08/05/2023,KI1011,HFO149-SOQ157-DIM143,English
hardgamechannel,01/06/2023,CV1064,DRY196-VIN110-EZX161-EHZ179,Russian
scoped,28/03/2022,NA1098,TTQ129-IKJ168-LIX198,English
VooDooSh,05/04/2022,CV1064,FJF159-XEB122-HTR108-YCY140,Russian
WELOVEGAMES,15/11/2023,KB1047,ZZQ180,Russian
StereOnline,01/09/2022,NO1070,HTR108-UPK123-ZPK187,Portuguese
ESL_CSGOb,08/08/2021,EW1042,HPT153-JDO132-HVP148,English
kyo1984123,04/11/2023,BC1084,FZP192,Chinese
midbeast,15/10/2021,KI1011,NOV103-DIM143-KXS144-INC128,English
Alexby11,18/02/2022,II1076,BJU120,Spanish
Tumblurr,14/03/2023,WT1016,JQJ162-SOQ157-KXS144,Italian
Veritas,24/03/2021,RO1019,EHZ179-GGS114-XEB122-VIN110,English
daltoosh,27/10/2023,RO1019,HMK109-UPK123-CUV131,English
ELoTRiX,20/04/2021,OR1066,HWP145-BGA171-JQJ162-ABY186,German
TSM_Viss,22/11/2023,DB1005,HWP145-DRY196-XDR142-DOL102,English
Anthony_Kongphan,11/03/2021,AZ1074,HDQ185-COI138-TTQ129-UFK146,English
XEWER,18/11/2021,XG1006,GGS114,French
blxckoutz,12/08/2021,KB1047,ISJ127-XOW164-OWQ126-LJW189,Portuguese
ALOHADANCETV,23/12/2021,EB1075,HVP148-BZQ165-UYB174,Russian
RoyalPhunk,15/07/2021,NA1098,IKK125-PUH184,German
Overpow,10/05/2023,NN1099,AEU118-LJW189-ISJ127,Polish
NeVeR_LosEs,04/02/2021,OZ1085,YCY140-MWP106-ZXP183,Chinese
AvoidingThePuddle,01/08/2023,PA1054,BYR152-ABY186-KRH188,English
Ko0416,24/05/2021,LH1004,ZKM134-RFQ147,Chinese
Dota2ruhub2,12/05/2022,WT1016,IKK125-EHZ179-RLU104-XEB122,Russian
itmeJP,17/02/2021,CY1025,HMK109-JDO132-TFK195-JUO176,English
JesusAVGN,05/08/2022,VX1069,BYR152-LIX198-GZN112-AEU118,Russian
Mickalow,26/10/2022,YC1062,ZPK187,French
UNLOSTV,15/07/2023,AE1038,PMW117-AEU118,Turkish
Felps,02/02/2021,IR1081,BDH190,Portuguese
adolfz,10/09/2021,WC1010,BKY101-MWP106-WQM170-ISJ127,Portuguese
knekro,27/02/2022,KF1077,TTQ129-QHJ155-TFK195-VHS107,Spanish
Smurfdomuca,12/12/2023,DN1001,DOL102-JYS169-BJU120,Portuguese
so_urf,25/08/2023,BQ1071,TFK195-DOL102-QHJ155,Korean
pimpimenta,14/08/2022,LH1004,OWQ126-XEB122-HMK109-AEU118,Portuguese
crokeyz,22/07/2021,KB1047,EHZ179-LJW189-CUV131-ZXP183,English
Letshe,17/06/2022,CW1089,NBF150-AUP136-ZXP183-CUV131,English
SaltyBet,18/03/2021,IC1059,FIQ167-EHZ179-JUO176,English
sonycast_,09/07/2021,EW1042,VVW175,Korean
HGmony,21/08/2023,BK1048,YUP121-XUM137-TFK195,Russian
