REPORTE DE PRODUCTOS

CÃ“DIGO    DESCRIPCIÃ“N                                                              STOCK         PRECIO
RDT-761   Horno Microondas con dorador                                                21         904.95
BWD-036   Cocina Empotrable Klimatica                                                 05        1086.34
TMN-884   Secadora de mano                                                            10         310.65
ZXK-295   Cocina Empotrable Electrica                                                 09        3679.43
DIQ-718   Horno Microondas de Conveccion Cello                                        03         390.80
BTO-226   Friobar                                                                     25         863.19
DFF-034   Grabadora de voz digital portátil con USB integrado                         24         259.25
OFS-384   Parlantes Bluetooth                                                         08         805.22
YZD-580   Mini componente ESX8                                                        04        1582.29
OTW-288   Cavba de Vinos GE cap. 34 botellas                                          14        1119.18
UOD-420   Mini componente ESX6                                                        10         828.94
IDO-503   Laptop GamerVictus de 15.6                                                  23        3935.17
VDD-853   Deshumedecedor  FAD30D7TSSW 3.4L 25-30m2                                    16        1095.67
VTV-269   Extractor de aire                                                           09         854.48
XZR-640   Lavadora-Secadora FWD                                                       14        2390.58
DON-719   Secadora de Cabello SG-3035                                                 12         360.69
HTY-123   Refrigeradora GM-S604ULV                                                    01        1173.33
LWG-915   Cocina a gas Murano                                                         15        1101.47
JYQ-045   Horno Microondas 1.2 p3                                                     20         267.15
AWB-345   Deshumedecedor DM-189H                                                      06         800.37
YGV-332   Impresora Led Color                                                         18        2517.66
HLR-109   Parlantes inalambricos                                                      25         439.47
MQR-442   Reloj Digital RMM-29                                                        25         271.66
GBD-525   Refrigeradora Puertas Mágicas                                               14        2700.95
DEV-433   Parlantes portatiles SHOQBOX                                                13        2698.74
OXP-732   Televisor OLED 4K UHD Google TV Smart 77 XR-77A80L LA8                      08       16504.47
FVQ-662   Cocina a gas Pro 6300 INOX                                                  13        1060.68
DEN-125   Rack Fijo 26/32                                                             25         562.46
CRU-009   Lavavajilla                                                                 05        2655.78
RSE-049   Radio CD/DVD - TV                                                           21        4037.51
BRD-969   Centro de Lavado Electrico                                                  18        2579.72
CIM-038   Cocina Empotrable Petra                                                     16        2544.64
CNQ-172   Congeladora Horizontal 364 Lts.                                             15        3689.62
QFR-958   Cocina a gas Bavaro                                                         06        1607.46
TYF-885   Videojuego TW 4                                                             07         794.14
VVS-017   Tablets MW 0731                                                             14        2599.72
BXY-119   Cocina Empotrable Klimatica                                                 12        2716.11
GKG-558   Horno Microondas MS2042D                                                    23        1674.24
UCX-285   Galaxy Tab 3                                                                11        3290.93
WZD-331   Refrigeradora ECOTT 465 IX                                                  07        1213.79
AFL-718   Vinera                                                                      17        1664.97
JJN-837   Lavadora Tecnologia Wobbie                                                  15        1979.92
KDA-627   Cocina a gas Ijasmin                                                        07        1424.46
PVZ-181   Ventilador circular                                                         08         309.77
ISU-815   Audifonos                                                                   16         619.89
OWN-701   Olla arrocera                                                               21         220.82
HFM-021   Horno Electrico                                                             26         726.91
GBJ-693   Radio CD                                                                    08         314.20
FQG-293   Rapiducha Premiun                                                           23        2784.31
XBD-314   Cocina a gas Fassina                                                        08        1444.90
QIL-029   Mini componente Shake-5                                                     16        2990.55
ZWF-661   Impresora Led                                                               01        2731.61
QHC-492   Terma Solucion                                                              17        1907.23
XLF-273   Centro de Lavado a Gas                                                      20        2371.95
XOA-735   Congeladora Vertical 392 Lts.                                               12        2708.07
FLW-631   Radio Reloj Despertador                                                     07         819.04
ZEX-027   Tablet Xperia Z                                                             23        3843.75
QJO-060   Televisor LED FULL HD                                                       23        2704.14
GXF-122   Televisor Ultra HDTV                                                        15        1110.16
QFP-254   Calentador electrico instantaneo                                            25         180.65
DUG-251   Cocina a gas FFG3047SL                                                      07        1597.96
III-576   Campana Extractora Venus Plus                                               29        1077.65
IHG-413   Parlant Y pedestal PAM-83                                                   13         317.70
QQB-968   Refrigeradora 484 litros                                                    09        1452.92
